3	16	6	176	120
4	32	6	49	90
5	64	6	45	88
6	128	6	52	91
7	256	6	49	90
0	2	6	35	82
1	4	6	2330	180
2	8	6	128	112
3	16	6	156	117
4	32	6	54	92
5	64	6	35	82
6	128	6	42	86
7	256	6	35	82
0	2	6	35	82
1	4	6	2330	180
2	8	6	128	112
3	16	6	156	117
4	32	6	54	92
5	64	6	35	82
6	128	6	42	86
7	256	6	35	82
0	2	6	10	53
1	4	6	811	155
2	8	6	237	127
3	16	6	105	108
4	32	6	38	84
5	64	6	31	79
6	128	6	33	81
7	256	6	24	73
0	2	6	10	53
1	4	6	811	155
2	8	6	237	127
3	16	6	105	108
4	32	6	38	84
5	64	6	31	79
6	128	6	33	81
7	256	6	24	73
0	2	6	1	0
1	4	6	865	157
2	8	6	106	108
3	16	6	70	98
4	32	6	22	71
5	64	6	29	78
6	128	6	31	79
7	256	6	20	69
0	2	6	1	0
1	4	6	865	157
2	8	6	106	108
3	16	6	70	98
4	32	6	22	71
5	64	6	29	78
6	128	6	31	79
7	256	6	20	69
0	2	6	3	25
1	4	6	710	152
2	8	6	119	111
3	16	6	37	84
4	32	6	20	69
5	64	6	25	74
6	128	6	38	84
7	256	6	23	72
0	2	6	3	25
1	4	6	710	152
2	8	6	119	111
3	16	6	37	84
4	32	6	20	69
5	64	6	25	74
6	128	6	38	84
7	256	6	23	72
0	2	6	0	0
1	4	6	561	147
2	8	6	198	123
3	16	6	46	89
4	32	6	33	81
5	64	6	32	80
6	128	6	45	88
7	256	6	40	85
0	2	6	0	0
1	4	6	561	147
2	8	6	198	123
3	16	6	46	89
4	32	6	33	81
5	64	6	32	80
6	128	6	45	88
7	256	6	40	85
0	2	6	7	45
1	4	6	535	146
2	8	6	130	113
3	16	6	23	72
4	32	6	13	59
5	64	6	11	55
6	128	6	18	67
7	256	6	15	63
0	2	6	7	45
1	4	6	535	146
2	8	6	130	113
3	16	6	23	72
4	32	6	13	59
5	64	6	11	55
6	128	6	18	67
7	256	6	15	63
0	2	6	6	41
1	4	6	580	148
2	8	6	81	102
3	16	6	15	63
4	32	6	8	48
5	64	6	6	41
6	128	6	9	51
7	256	6	8	48
0	2	6	6	41
1	4	6	580	148
2	8	6	81	102
3	16	6	15	63
4	32	6	8	48
5	64	6	6	41
6	128	6	9	51
7	256	6	8	48
0	2	6	7	45
1	4	6	356	136
2	8	6	91	104
3	16	6	15	63
4	32	6	7	45
5	64	6	3	25
6	128	6	2	16
7	256	6	1	0
0	2	6	7	45
1	4	6	356	136
2	8	6	91	104
3	16	6	15	63
4	32	6	7	45
5	64	6	3	25
6	128	6	2	16
7	256	6	1	0
0	2	6	5	37
1	4	6	492	144
2	8	6	54	92
3	16	6	15	63
4	32	6	6	41
5	64	6	3	25
6	128	6	1	0
7	256	6	0	0
0	2	6	5	37
1	4	6	492	144
2	8	6	54	92
3	16	6	15	63
4	32	6	6	41
5	64	6	3	25
6	128	6	1	0
7	256	6	0	0
0	2	6	2	16
1	4	6	403	139
2	8	6	62	96
3	16	6	13	59
4	32	6	8	48
5	64	6	7	45
6	128	6	11	55
